Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Data Scientist,$53K-$91K (Glassdoor est.),3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),Not Available,53,91,72, NM,0,47,1,0,0,0,1
Healthcare Data Scientist,$63K-$112K (Glassdoor est.),3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Not Available,63,112,87.5, MD,0,36,1,0,0,0,0
Data Scientist,$80K-$90K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),Not Available,80,90,85, FL,1,10,1,0,1,0,1
Data Scientist,$56K-$97K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56,97,76.5, WA,1,55,1,0,0,0,0
Data Scientist,$86K-$143K (Glassdoor est.),2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",86,143,114.5, NY,1,22,1,0,0,0,1
Data Scientist,$71K-$119K (Glassdoor est.),3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",71,119,95, TX,1,20,1,0,0,1,1
Data Scientist,$54K-$93K (Glassdoor est.),4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Not Available,54,93,73.5, MD,1,12,0,0,0,0,1
Data Scientist,$86K-$142K (Glassdoor est.),3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),Not Available,86,142,114, CA,0,15,1,0,1,1,1
Research Scientist,$38K-$84K (Glassdoor est.),3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Not Available,38,84,61, NY,1,6,0,0,0,0,0
Data Scientist,$120K-$160K (Glassdoor est.),4.6,"<intent>
4.6","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",120,160,140, NY,1,11,1,0,1,0,0
Data Scientist,$126K-$201K (Glassdoor est.),3.5,"Wish
3.5","San Jose, CA","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),Not Available,126,201,163.5, CA,0,9,1,0,0,0,0
Data Scientist,$64K-$106K (Glassdoor est.),4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),Not Available,64,106,85, VA,0,52,0,0,0,0,0
Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",106,172,139, TX,0,58,0,0,0,0,0
Data Analyst,$46K-$85K (Glassdoor est.),4.1,"Yesler
4.1","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Not Available,46,85,65.5, WA,1,8,1,0,1,1,1
Data Scientist,$83K-$144K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",83,144,113.5, MA,0,239,1,0,1,0,0
Data Engineer I,$102K-$190K (Glassdoor est.),3.6,"Audible
3.6","Newark, NJ","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,Not Available,102,190,146, NJ,1,25,0,0,0,0,1
"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",67,137,102, MA,1,9,0,0,0,0,1
Customer Data Scientist,$118K-$189K (Glassdoor est.),4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Not Available,118,189,153.5, CA,1,9,1,0,1,1,1
Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Not Available,110,175,142.5, CA,1,10,0,0,0,0,0
Data Scientist,$64K-$111K (Glassdoor est.),4,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),Not Available,64,111,87.5, CO,1,105,1,0,0,0,1
Data Scientist,$81K-$130K (Glassdoor est.),3.2,"Porch
3.2","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",81,130,105.5, WA,1,8,1,0,1,0,0
Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),3.9,"Health IQ
3.9","Dallas, TX","Mountain View, CA",201 to 500 employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Not Available,73,119,96, TX,0,7,0,0,0,0,1
Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID",501 to 1000 employees,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,Not Available,86,139,112.5, IL,0,25,1,0,0,1,1
Data Scientist,$63K-$105K (Glassdoor est.),4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA",51 to 200 employees,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),Not Available,63,105,84, KY,0,85,1,0,0,0,1
Data Scientist,$109K-$177K (Glassdoor est.),4,"Novetta
4.0","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",109,177,143, VA,0,8,1,0,0,1,0
Digital Health Data Scientist,$63K-$110K (Glassdoor est.),4,"Pfizer
4.0","Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Not Available,63,110,86.5, MA,0,171,1,0,0,1,1
Data Scientist,$75K-$124K (Glassdoor est.),3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),Not Available,75,124,99.5, OR,0,68,1,0,1,1,1
Associate Data Analyst,$34K-$61K (Glassdoor est.),3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),Not Available,34,61,47.5, MA,1,168,0,0,0,0,1
Clinical Data Scientist,$63K-$105K (Glassdoor est.),4,"Pfizer
4.0","Groton, CT","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Not Available,63,105,84, CT,0,171,0,0,0,1,1
Data Scientist,$80K-$90K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),Not Available,80,90,85, FL,1,10,1,0,1,0,1
Data Scientist,$56K-$97K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56,97,76.5, WA,1,55,1,0,0,0,0
Data Scientist,$72K-$120K (Glassdoor est.),3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),Not Available,72,120,96, MI,1,23,1,0,0,0,0
Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Not Available,86,143,114.5, MA,0,24,1,0,0,0,0
Data Scientist,$93K-$149K (Glassdoor est.),3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),Not Available,93,149,121, CA,1,24,1,0,1,0,1
Data Scientist,$85K-$140K (Glassdoor est.),4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",85,140,112.5, MA,1,46,1,0,0,0,1
Web Data Analyst,$77K-$135K (Glassdoor est.),4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Not Available,77,135,106, CA,0,12,1,0,0,0,1
Data Scientist,$82K-$132K (Glassdoor est.),3.5,"Esri
3.5","Redlands, CA","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,82,132,107, CA,1,51,1,0,1,1,0
Data Scientist,$83K-$137K (Glassdoor est.),4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),Not Available,83,137,110, MA,1,10,1,0,1,0,1
Senior Data Scientist,$115K-$180K (Glassdoor est.),3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Not Available,115,180,147.5, CA,0,150,1,0,0,0,1
Data Engineer,$74K-$138K (Glassdoor est.),3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),Not Available,74,138,106, NY,1,35,1,0,0,0,1
Data Analyst,$64K-$112K (Glassdoor est.),4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",64,112,88, CA,1,12,1,0,0,1,1
Data Engineer,$68K-$129K (Glassdoor est.),3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA",1 to 50 employees,Not available,Company - Private,Not available,Not available,Less than $1 million (USD),Not Available,68,129,98.5, MA,0,Not Available,0,0,0,0,1
Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Not Available,110,175,142.5, CA,1,10,0,0,0,0,0
Scientist,$52K-$113K (Glassdoor est.),3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT",5001 to 10000 employees,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",52,113,82.5, NJ,0,5,0,0,0,1,0
Senior Data Scientist,$110K-$150K(Employer est.),4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",110,150,130, IL,1,27,1,0,1,0,1
Data Scientist,Employer Provided Salary:$150K-$160K,5,"BPA Services
5.0","Washington, DC","Alexandria, VA",Unknown,Not available,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Not Available,150,160,155, DC,0,Not Available,0,0,0,1,1
Lead Data Scientist,$158K-$211K (Glassdoor est.),3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA",10000+ employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",158,211,184.5, WA,0,62,1,0,0,0,1
